Original_Index,Selected_Index,Correlation
904,623,-0.134349
905,624,-0.139399
906,625,-0.125333
907,626,-0.110970
908,627,-0.113706
909,628,-0.124937
910,629,-0.127063
911,630,-0.123167
912,631,-0.113866
913,632,-0.118676
914,633,-0.119433
915,634,-0.108984
916,635,-0.106418
917,636,-0.120964
918,637,-0.132017
919,638,-0.119369
920,639,-0.119669
921,640,-0.122707
922,641,-0.113539
923,642,-0.117488
924,643,-0.103380
925,644,-0.121877
926,645,-0.120066
927,646,-0.110857
928,647,-0.115544
929,648,-0.131032
930,649,-0.116434
931,650,-0.107869
932,651,-0.110775
933,652,-0.143979
934,653,-0.115203
935,654,-0.121175
936,655,-0.130146
937,656,-0.132498
938,657,-0.123731
939,658,-0.134338
940,659,-0.103383
941,660,-0.133076
942,661,-0.112779
943,662,-0.117017
944,663,-0.119822
945,664,-0.144465
946,665,-0.113918
947,666,-0.127847
948,667,-0.117855
949,668,-0.124126
950,669,-0.123431
951,670,-0.141686
952,671,-0.113432
953,672,-0.140275
954,673,-0.112712
955,674,-0.113230
956,675,-0.102885
957,676,-0.140401
958,677,-0.132795
959,678,-0.132282
960,679,-0.110273
961,680,-0.122155
962,681,-0.110537
963,682,-0.126437
965,683,-0.137209
966,684,-0.111328
967,685,-0.125557
968,686,-0.114542
969,687,-0.133845
970,688,-0.111022
971,689,-0.141346
972,690,-0.108842
973,691,-0.139484
974,692,-0.116229
975,693,-0.130582
976,694,-0.128139
977,695,-0.145666
978,696,-0.121264
979,697,-0.126826
980,698,-0.103235
981,699,-0.127066
982,700,-0.117486
983,701,-0.136875
984,702,-0.115458
985,703,-0.125736
986,704,-0.110447
987,705,-0.131349
988,706,-0.131091
989,707,-0.156627
990,708,-0.139499
991,709,-0.137771
992,710,-0.120701
993,711,-0.161234
994,712,-0.148223
995,713,-0.155101
996,714,-0.125981
997,715,-0.129640
998,716,-0.128195
999,717,-0.134362
1000,718,-0.123725
1001,719,-0.157218
1002,720,-0.120202
1003,721,-0.127898
1004,722,-0.127443
1005,723,-0.161575
1006,724,-0.137283
1007,725,-0.147132
1008,726,-0.127818
1009,727,-0.143215
1010,728,-0.140136
1011,729,-0.134769
1012,730,-0.104128
1013,731,-0.159920
1014,732,-0.127913
1015,733,-0.130325
1016,734,-0.127942
1017,735,-0.137730
1018,736,-0.138430
1019,737,-0.153493
1020,738,-0.120813
1021,739,-0.138240
1022,740,-0.120072
1023,741,-0.124216
1024,742,-0.136072
1025,743,0.331562
1026,744,0.338692
1027,745,-0.218947
1028,746,-0.137255
1030,747,0.175669
1031,748,-0.125067
1033,749,0.224339
1034,750,0.376242
1035,751,-0.174444
1036,752,-0.135842
1037,753,0.295135
1038,754,0.391765
1039,755,-0.119012
1040,756,-0.127016
1041,757,0.225037
1042,758,0.365893
1045,759,0.335935
1046,760,0.424406
1048,761,-0.176199
1049,762,0.349616
1050,763,0.472670
1053,764,0.360111
1054,765,0.417633
1055,766,-0.110246
1057,767,0.391127
1058,768,0.456116
1059,769,-0.135193
1060,770,-0.218680
1061,771,0.372215
1062,772,0.378813
1065,773,0.436583
1066,774,0.437199
1069,775,0.370330
1070,776,0.495950
1072,777,-0.137720
1073,778,0.358563
1074,779,0.423031
1075,780,-0.117262
1077,781,0.309237
1078,782,0.455240
1079,783,-0.120375
1080,784,-0.125286
1081,785,0.392267
1082,786,0.429503
1085,787,0.340625
1086,788,0.341600
1088,789,-0.162019
1089,790,0.373204
1090,791,0.440798
1091,792,-0.129401
1093,793,0.356541
1094,794,0.371809
1095,795,-0.136872
1097,796,0.343886
1098,797,0.474773
1101,798,0.344263
1102,799,0.365980
1103,800,-0.100511
1104,801,-0.181421
1105,802,0.271004
1106,803,0.346711
1107,804,-0.106410
1108,805,-0.180436
1109,806,0.326385
1110,807,0.407838
1111,808,-0.177702
1112,809,-0.103318
1113,810,0.353910
1114,811,0.421426
1115,812,-0.127852
1116,813,-0.144405
1117,814,0.390833
1118,815,0.456196
1119,816,-0.154713
1121,817,0.347643
1122,818,0.420173
1123,819,-0.120934
1125,820,0.380802
1126,821,0.316686
1127,822,-0.238474
1128,823,-0.136378
1129,824,0.307426
1130,825,0.359267
1131,826,-0.119820
1133,827,0.382669
1134,828,0.450861
1135,829,-0.187374
1136,830,-0.150018
1137,831,0.322093
1138,832,0.419109
1139,833,-0.134608
1140,834,-0.102355
1141,835,0.320587
1142,836,0.433579
1143,837,-0.102558
1145,838,0.334183
1146,839,0.431419
1147,840,-0.156855
1148,841,-0.116547
1149,842,0.389080
1150,843,0.454866
1151,844,-0.103474
1153,845,0.355977
1154,846,0.460054
1157,847,0.384884
1158,848,0.360120
1159,849,-0.130728
1161,850,0.375290
1162,851,0.444661
1165,852,0.330304
1166,853,0.331153
1167,854,-0.167970
1168,855,-0.174626
1169,856,0.334850
1170,857,0.383180
1171,858,-0.105336
1173,859,0.344698
1174,860,0.382503
1175,861,-0.183913
1176,862,-0.107328
1177,863,0.368925
1178,864,0.394124
1179,865,-0.139311
1180,866,-0.158391
1181,867,0.362289
1182,868,0.424674
1183,869,-0.176132
1184,870,-0.145885
1185,871,0.317787
1186,872,0.342349
1187,873,-0.140310
1188,874,-0.130548
1189,875,0.391826
1190,876,0.389776
1191,877,-0.172721
1192,878,-0.129093
1193,879,0.281126
1194,880,0.339336
1195,881,-0.141556
1196,882,-0.187950
1197,883,0.285239
1198,884,0.358036
1199,885,-0.161830
1200,886,-0.104083
1201,887,0.300845
1202,888,0.354108
1203,889,-0.119549
1205,890,0.304922
1206,891,0.363592
1207,892,-0.133179
1208,893,-0.119830
1209,894,0.284118
1210,895,0.366639
1211,896,-0.121109
